(7b8f,cacd) (596f,cacd)
(179b3,6c0f5) (a5eb,6c0f5)
(21413,78f3b) (3db3b,78f3b)
(5576f,9e3a7) (74fb7,9e3a7)
(68935,a17f1) (7d22d,a17f1)
(bba9,2afe5) (11099,2afe5)
(13277,3751f) (3407,3751f)
(2253d,22e67) (1ff15,22e67)
(26f9,415d) (1049,415d)
(14dbf,a3e4f) (41387,a3e4f)
(a3,605) (307,605)
(38aef,43fb1) (1416b,43fb1)
(e97b,3e243) (1158b,3e243)
(1686d,1981d) (55bd,1981d)
(1e613,768cb) (7601b,768cb)
(6f0b,26609) (22487,26609)
(4de3d,8906f) (30ed5,8906f)
(1a663,1d88b) (15e7b,1d88b)
(c511,181e5) (13a59,181e5)
(9cd,15ad) (b35,15ad)
(35171,3ef77) (1e191,3ef77)
(5cfb,9965) (7a2f,9965)
(5d91,7f55) (46b1,7f55)
(3d8d,2b20d) (16c45,2b20d)
(233b1,7e68b) (5a0e9,7e68b)
(64e49,81587) (26bf9,81587)
(2b247,32017) (24567,32017)
(42b,c4df) (5783,c4df)
(acf9,494b9) (24631,494b9)
(180a9,321d9) (2de99,321d9)
(2123,15a3d) (56e7,15a3d)
(30317,abb15) (80027,abb15)
(64c31,8e1c9) (49931,8e1c9)
(49b5,ee8d) (1c1d,ee8d)
(1857,508f) (777,508f)
(17a41,26311) (19881,26311)
(a7b9,feb7) (8839,feb7)
(16d,3a97) (211d,3a97)
(14191,2c25b) (23461,2c25b)
(286f,324d) (1d2f,324d)
(84e6f,93a69) (ab5f,93a69)
(e09,7b65) (11,7b65)
(be87,321f5) (8f9b,321f5)
(1dcfb,21a73) (6a33,21a73)
(2a8af,469ff) (43a2f,469ff)
(10183,15a37) (10a6b,15a37)
(462eb,4ea0d) (e5cf,4ea0d)
(66bf,16d99) (24bf,16d99)
(b943,10b07) (d12b,10b07)
(c355,31f9f) (2665,31f9f)
(43df,1af51) (752f,1af51)
(2a65,334d) (301d,334d)
(27331,befdf) (20f11,befdf)
(1cd5f,29b25) (2803f,29b25)
(ad3cb,bfaa7) (59443,bfaa7)
(2831,382d) (15d1,382d)
(10817,13285) (d523,13285)
(1567,5291) (3c97,5291)
(1c1bd,6aaa1) (69095,6aaa1)
(c3e3,19a45) (1f7f,19a45)
(9983,1c897) (8ed3,1c897)
(6d2ad,b9ffb) (1e1d,b9ffb)
(7133,16e35) (cabb,16e35)
(9bf45,cfe6f) (4dac5,cfe6f)
(8e19,26d7d) (18d49,26d7d)
(35bd,6df9) (11e9,6df9)
(6ca9,7ec1) (6529,7ec1)
(9eb,20743) (5503,20743)
(5abd7,77179) (113e7,77179)
(4f7,1ae7f) (6947,1ae7f)
(3c43,404b) (31db,404b)
(8aff,b371) (75d7,b371)
(2037f,bb91b) (3f17f,bb91b)
(e739,1d7cd) (9f09,1d7cd)
(2914f,2a29b) (11f8f,2a29b)
(7c67,9965) (66a7,9965)
(4ea7,105c1) (1b17,105c1)
(bc2f,dadb) (748f,dadb)
(4e87d,5eaf9) (66e5,5eaf9)
(11209,1bde7) (4bd9,1bde7)
(3ba5,8375) (3b2d,8375)
(1850b,43d2f) (24fd3,43d2f)
(1a49d,2f261) (cef5,2f261)
(28c25,490c3) (718d,490c3)
(531b,a90f) (8cb3,a90f)
(8d9,682f) (2e29,682f)
(26c03,31613) (2c0ab,31613)
(18089,282fb) (119,282fb)
(4ab1,64bb) (1db1,64bb)
(3875,28679) (23561,28679)
(26ce7,6f4cf) (519a7,6f4cf)
(1a06f,4874f) (3fc8f,4874f)
(b44f,1974b) (2737,1974b)
(20b2d,58571) (7051,58571)
(1e65,184b5) (c815,184b5)
(fac1,1fb11) (7271,1fb11)
(10bad,1f025) (142e5,1f025)
(1ead,25eb) (20a5,25eb)
(25e3f,37d41) (f26b,37d41)
(7ec7,ba8f) (1f6f,ba8f)
(7429,3bddd) (12949,3bddd)
(a3b,20b99) (8b5f,20b99)
(503,48b3) (44ab,48b3)
(fdef,1be05) (19e3f,1be05)
(15df,1a927) (dff,1a927)
(754f,27d01) (ef2f,27d01)
(2dbb,74a1) (1f33,74a1)
(6db1,952f) (10e1,952f)
(b143,157fd) (160f,157fd)
(25529,2ec67) (24959,2ec67)
(37f,1480d) (d8df,1480d)
(305,353) (7d,353)
(22981,5902d) (22a65,5902d)
(10e29,3a1a5) (19745,3a1a5)
(2b69,3a55) (1db9,3a55)
(5b33,2b10f) (a5a3,2b10f)
(bb33,41239) (32707,41239)
(16f1,3a271) (2db51,3a271)
(3f91,c6d7) (8a19,c6d7)
(9f61,38db9) (16699,38db9)
(30329,336f5) (29d59,336f5)
(1b26f,1c199) (14eaf,1c199)
(2a955,399fd) (29d,399fd)
(18841,70b2b) (3f19,70b2b)
(5e0d,7b41) (598d,7b41)
(5653,6f73) (19c3,6f73)
(6af,9019) (6e2f,9019)
(13115,3212b) (1fbd5,3212b)
(2da1,8797) (7241,8797)
(4c7b5,b995f) (134dd,b995f)
(121,cdc9) (169,cdc9)
(3f5d,8d2b) (4395,8d2b)
(3413,1ce1d) (12b1b,1ce1d)
(3573,3b3b) (1bbb,3b3b)
(3c95,4469) (581,4469)
(758f,e519) (8603,e519)
(c677,15959) (ad87,15959)
(6eb5,10e6d) (a4b9,10e6d)
(3623,5603) (3d8b,5603)
(c8c5,6f323) (4b1d5,6f323)
(4315,48dd) (2b09,48dd)
(2bd8d,3e423) (383bd,3e423)
(16405,a61ed) (4c735,a61ed)
(4d87,8c56d) (21a8b,8c56d)
(134f,5759) (206f,5759)
(8ee3b,a5c73) (7dcf3,a5c73)
(3ba85,58bf5) (3a5cd,58bf5)
(28e61,2e9b7) (19f39,2e9b7)
(e8543,ec0e7) (4b80b,ec0e7)
(21e4b,31897) (26a23,31897)
(733,1553) (643,1553)
(8515,357b5) (20b39,357b5)
(4373,2240b) (12b,2240b)
(ed2b,10b0b) (8a73,10b0b)
(7365,158ef) (a47d,158ef)
(1d4c1,866db) (3ad41,866db)
(21c17,4715b) (1d067,4715b)
(16e71,a3be9) (a12f1,a3be9)
(e39,504d) (14c9,504d)
(1120d,2d305) (9a6d,2d305)
(83d93,a340b) (2f1ab,a340b)
(f683,10ef7) (444b,10ef7)
(1ae85,28a53) (26795,28a53)
(10aa7,5c5e5) (2aab7,5c5e5)
(2d359,3c461) (17c21,3c461)
(13bab,15a1b) (14943,15a1b)
(b3aa7,c24c1) (1ec77,c24c1)
(1b265,1c301) (115f9,1c301)
(f7f,2621) (223f,2621)
(3c633,a7ec3) (57c3,a7ec3)
(7ed,75e4d) (49de9,75e4d)
(ab05,bd0f7) (2e4ed,bd0f7)
(6779,1cf63) (2db9,1cf63)
(14afb,2b7b3) (29ed3,2b7b3)
(732b,ab2b7) (236db,ab2b7)
(6797,24b45) (15ca7,24b45)
(100b5,3a3cd) (319cd,3a3cd)
(2f3f,810d9) (6d8bf,810d9)
(17467,9d6a5) (19bb7,9d6a5)
(57f5,baeb) (2f75,baeb)
(76a7b,9b39f) (48ec3,9b39f)
(67c1,1118b) (c341,1118b)
(a667,25bd1) (16c73,25bd1)
(6109,dbfd) (7efd,dbfd)
(35b,2f5f) (dab,2f5f)
(5461,6263) (4561,6263)
(23e9,eef9) (4aad,eef9)
(2e6ab,3651b) (dd0b,3651b)
(7de1,297eb) (13f79,297eb)
(69ab,985c9) (3bc1f,985c9)
(11051,14191) (7db1,14191)
(646d,aef7) (a165,aef7)
(120a9,4c6db) (57a9,4c6db)
(40f1f,4b1cf) (4969f,4b1cf)
(691,d09) (94d,d09)
(1d21,25d3) (1c19,25d3)
(56323,5acf1) (2a543,5acf1)
(1553,6dd9) (14db,6dd9)
(1d903,262cf) (113ab,262cf)
(69d,2ad1) (15b5,2ad1)
(2fe61,8416f) (20a69,8416f)
(31049,42ac1) (1fbc5,42ac1)
(375,9e71) (839d,9e71)
(4bbb,b5f1) (7c63,b5f1)
(43c85,53b03) (10bdd,53b03)
(4932b,68f11) (41ab3,68f11)
(3c79,73295) (70ba9,73295)
(42f29,abb15) (41e19,abb15)
(362cb,3fd61) (16633,3fd61)
(4cc13,f48cd) (d49d3,f48cd)
(81b9,4c867) (1dba9,4c867)
(69ec9,82fdb) (7fe09,82fdb)
(2cc47,30dcf) (28337,30dcf)
(1081,292d) (186d,292d)
(fc91,68c2f) (28891,68c2f)
(5ad,c59) (6b5,c59)
(169ff,341c3) (3e77,341c3)
(35861,3e255) (5c81,3e255)
(30bf,4de3) (9bf,4de3)
(2cff,4189) (45b,4189)
(9d3f,144d7) (e68f,144d7)
(e035,ebb5) (1591,ebb5)
(b2b5,d62b) (970d,d62b)
(13e9b,4fda5) (eb97,4fda5)
(9a07,2766d) (17747,2766d)
(1b1eb,1e7c7) (164c3,1e7c7)
(6751,1f61f) (11971,1f61f)
(2791,707f) (61b1,707f)
(41611,43529) (2de71,43529)
(20fa9,6736f) (8c89,6736f)
(227d,2ffb) (259d,2ffb)
(1d17f,2bb17) (2236f,2bb17)
(23411,4542b) (22c19,4542b)
(12ac7,6d937) (4b167,6d937)
(9043,1a58d) (b27b,1a58d)
(2d31,3640d) (2d451,3640d)
(298c1,3a637) (2141,3a637)
(41293,47e49) (36ecb,47e49)
(a5739,cb8a3) (b5801,cb8a3)
(94c1,4eff1) (2a621,4eff1)
(327,5143) (4937,5143)
(349,1bb5) (1839,1bb5)
(4b49d,6ca03) (621c5,6ca03)
(5779,b20f) (28c9,b20f)
(7c9,4d18b) (48e29,4d18b)
(2b87d,62eb5) (418d,62eb5)
(bb0f,301bd) (2c0ef,301bd)
(1b34d,44149) (2f1e1,44149)
(14191,1552d) (132c1,1552d)
(84eb,20fd7) (5bab,20fd7)
(ce6b,44ee7) (bffb,44ee7)
(d621,1c95b) (1bd21,1c95b)
(a6ff,df8d) (b50f,df8d)
(1c4e7,2d1e1) (18b57,2d1e1)
(152b1,1f985) (1a7a1,1f985)
(aab,cad3) (2593,cad3)
(357b5,73d59) (1cc8d,73d59)
(35d41,94f69) (706d,94f69)
(30abd,9f77b) (1ee95,9f77b)
(1d3,7e37) (1b6b,7e37)
(ee7f,96f97) (60dbf,96f97)
(124b1,27b15) (27385,27b15)
(1319,3c2b) (6e9,3c2b)
(243d9,346f1) (d6c9,346f1)
(6f1d,7ceb) (5495,7ceb)
(81b3,1226f) (8603,1226f)
(40753,7aa55) (3104b,7aa55)
(2d77,358cd) (246a7,358cd)
(5db,3af1) (3bf,3af1)
(15bf,2c11) (f3f,2c11)
(2b753,7e0a3) (68c0b,7e0a3)
(c2d5,19d47) (158bd,19d47)
(4110b,5910d) (12a73,5910d)
(af6d9,cbbd9) (9f4e5,cbbd9)
(13973,222b5) (168bb,222b5)
(379,6fa7) (5149,6fa7)
(7625,93bf) (6bd5,93bf)
(332e9,43591) (1f6f9,43591)
(f0c7,2d6e9) (10b7,2d6e9)
(9a7f,23b39) (bd7f,23b39)
(24a1,4927) (e9,4927)
(1c541,36719) (62b1,36719)
(2c23,34dd5) (14437,34dd5)
(627,3db1) (2d97,3db1)
(5343f,af8af) (539f,af8af)
(19c09,1fd4d) (5e39,1fd4d)
